ts_cmd,ts_ack,lat_ms,tile
2025-04-27T11:30:39.989198+00:00,2025-04-27T11:30:40.380672+00:00,391.5,tile2
2025-04-27T11:30:40.991395+00:00,2025-04-27T11:30:41.007565+00:00,16.2,tile3
2025-04-27T11:30:41.994071+00:00,2025-04-27T11:30:42.015821+00:00,21.8,tile4
2025-04-27T11:30:42.996166+00:00,2025-04-27T11:30:43.014882+00:00,18.7,tile5
2025-04-27T11:30:44.001509+00:00,2025-04-27T11:30:44.259881+00:00,258.4,tile6
2025-04-27T11:30:46.006826+00:00,2025-04-27T11:30:46.317837+00:00,311.0,tile8
2025-04-27T11:30:47.009058+00:00,2025-04-27T11:30:48.218173+00:00,1209.1,tile9
2025-04-27T11:30:48.011389+00:00,2025-04-27T11:30:49.300705+00:00,1289.3,tile10
2025-04-27T11:30:49.015130+00:00,2025-04-27T11:30:50.499153+00:00,1484.0,tile11
2025-04-27T11:30:51.018101+00:00,2025-04-27T11:30:51.220690+00:00,202.6,tile13
2025-04-27T11:30:52.020451+00:00,2025-04-27T11:30:52.039342+00:00,18.9,tile14
2025-04-27T11:30:53.023227+00:00,2025-04-27T11:30:53.045701+00:00,22.5,tile15
2025-04-27T11:30:54.030300+00:00,2025-04-27T11:30:54.254207+00:00,223.9,tile16
2025-04-27T11:30:55.032713+00:00,2025-04-27T11:30:55.051420+00:00,18.7,tile17
2025-04-27T11:30:56.035524+00:00,2025-04-27T11:30:56.355830+00:00,320.3,tile18
2025-04-27T11:30:59.043473+00:00,2025-04-27T11:31:00.232832+00:00,1189.4,tile1
2025-04-27T11:31:00.046106+00:00,2025-04-27T11:31:00.379819+00:00,333.7,tile2
2025-04-27T11:31:01.048462+00:00,2025-04-27T11:31:01.071138+00:00,22.7,tile3
2025-04-27T11:31:02.051046+00:00,2025-04-27T11:31:02.071400+00:00,20.4,tile4
2025-04-27T11:31:03.053416+00:00,2025-04-27T11:31:03.072634+00:00,19.2,tile5
2025-04-27T11:31:04.055143+00:00,2025-04-27T11:31:04.239263+00:00,184.1,tile6
2025-04-27T11:31:06.060057+00:00,2025-04-27T11:31:06.311687+00:00,251.6,tile8
2025-04-27T11:31:07.062433+00:00,2025-04-27T11:31:08.119214+00:00,1056.8,tile9
2025-04-27T11:31:08.063975+00:00,2025-04-27T11:31:09.214519+00:00,1150.5,tile10
2025-04-27T11:31:09.068221+00:00,2025-04-27T11:31:09.883498+00:00,815.3,tile11
2025-04-27T11:31:11.073078+00:00,2025-04-27T11:31:11.087575+00:00,14.5,tile13
2025-04-27T11:31:12.075445+00:00,2025-04-27T11:31:12.090759+00:00,15.3,tile14
2025-04-27T11:31:13.078106+00:00,2025-04-27T11:31:13.098242+00:00,20.1,tile15
2025-04-27T11:31:14.080730+00:00,2025-04-27T11:31:14.216343+00:00,135.6,tile16
2025-04-27T11:31:15.083202+00:00,2025-04-27T11:31:15.119056+00:00,35.9,tile17
2025-04-27T11:31:16.085515+00:00,2025-04-27T11:31:16.291120+00:00,205.6,tile18
2025-04-27T11:31:19.091579+00:00,2025-04-27T11:31:20.642038+00:00,1550.5,tile1
2025-04-27T11:31:21.097270+00:00,2025-04-27T11:31:21.644413+00:00,547.1,tile3
2025-04-27T11:31:20.095037+00:00,2025-04-27T11:31:21.648777+00:00,1553.7,tile2
2025-04-27T11:31:22.099000+00:00,2025-04-27T11:31:22.114469+00:00,15.5,tile4
2025-04-27T11:31:23.101393+00:00,2025-04-27T11:31:23.116724+00:00,15.3,tile5
2025-04-27T11:31:24.103207+00:00,2025-04-27T11:31:24.222161+00:00,119.0,tile6
2025-04-27T11:31:26.108183+00:00,2025-04-27T11:31:26.346331+00:00,238.1,tile8
2025-04-27T11:31:27.110578+00:00,2025-04-27T11:31:28.284163+00:00,1173.6,tile9
2025-04-27T11:31:28.112547+00:00,2025-04-27T11:31:29.242743+00:00,1130.2,tile10
2025-04-27T11:31:29.115385+00:00,2025-04-27T11:31:29.915963+00:00,800.6,tile11
2025-04-27T11:31:31.120171+00:00,2025-04-27T11:31:31.134166+00:00,14.0,tile13
2025-04-27T11:31:32.123015+00:00,2025-04-27T11:31:32.145422+00:00,22.4,tile14
2025-04-27T11:31:33.125585+00:00,2025-04-27T11:31:33.144926+00:00,19.3,tile15
2025-04-27T11:31:34.128696+00:00,2025-04-27T11:31:34.213518+00:00,84.8,tile16
2025-04-27T11:31:35.131654+00:00,2025-04-27T11:31:35.155281+00:00,23.6,tile17
2025-04-27T11:31:36.134009+00:00,2025-04-27T11:31:36.306792+00:00,172.8,tile18
2025-04-27T11:31:39.141517+00:00,2025-04-27T11:31:39.836724+00:00,695.2,tile1
2025-04-27T11:31:40.143297+00:00,2025-04-27T11:31:41.344280+00:00,1201.0,tile2
2025-04-27T11:31:41.146057+00:00,2025-04-27T11:31:41.350243+00:00,204.2,tile3
2025-04-27T11:31:42.148344+00:00,2025-04-27T11:31:42.161742+00:00,13.4,tile4
2025-04-27T11:31:43.149951+00:00,2025-04-27T11:31:43.168455+00:00,18.5,tile5
2025-04-27T11:31:44.152484+00:00,2025-04-27T11:31:44.226360+00:00,73.9,tile6
2025-04-27T11:31:46.156330+00:00,2025-04-27T11:31:46.368896+00:00,212.6,tile8
2025-04-27T11:31:47.159074+00:00,2025-04-27T11:31:48.035990+00:00,876.9,tile9
2025-04-27T11:31:48.162121+00:00,2025-04-27T11:31:49.218657+00:00,1056.5,tile10
